scope,list,rank,trend,archetype_primary,archetype_secondary,charge,rationale
us,us_games,5,The Elder Scrolls IV: Oblivion Remastered,rebirth,apocalypse,med,A literal remaster (rebirth) of a game about the gates of 'Oblivion'.
us,us_musicians,1,d4vd,shadow,anima,high,Young heartthrob engulfed by a dark death-scandal -- persona swallowed by shadow.
us,us_musicians,2,KATSEYE,persona,anima,low,Pop-group image.
us,us_musicians,3,Bad Bunny,trickster,hero,med,Genre-bending shapeshifter; cultural champion.
us,us_musicians,4,Sombr,persona,anima,low,Young-artist image.
us,us_musicians,5,Doechii,trickster,anima,med,Boundary-breaking performer.
us,us_songs,1,Wood,trickster,anima,low,Innuendo pop (Taylor Swift) -- ribald play.
us,us_songs,2,DtMF,rebirth,,low,Bad Bunny's 'debi tirar mas fotos' -- longing for the past.
us,us_songs,3,Golden (HUNTR/X),hero,,med,Anthem from the demon-hunter film -- the golden hero.
us,us_songs,4,The Fate of Ophelia,death,anima,high,Ophelia = the drowning maiden -- death + anima.
us,us_songs,5,Father Figure,ruler,,med,Explicit father archetype (Taylor Swift).
global,global_sports_events,1,FIFA Club World Cup,hero,,med,Ritual combat (football tournament).
global,global_sports_events,2,Asia Cup,hero,,med,Ritual combat (cricket).
global,global_sports_events,3,ICC Champions Trophy,hero,,med,Ritual combat (cricket).
global,global_sports_events,4,ICC Women's World Cup,hero,,med,Ritual combat (cricket).
global,global_sports_events,5,Ryder Cup,hero,,med,Ritual combat (golf).
global,global_sports_events,6,EuroBasket,hero,,med,Ritual combat (basketball).
global,global_sports_events,7,Concacaf Gold Cup,hero,,med,Ritual combat (football).
global,global_sports_events,8,4 Nations Face-Off,hero,,med,Ritual combat (hockey).
global,global_sports_events,9,UFC 313,hero,serpent_beast,med,Single combat -- the warrior/beast.
global,global_sports_events,10,UFC 311,hero,serpent_beast,med,Single combat -- the warrior/beast.
